"season","gameid","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2018,20171209,"Boston College",89.0,31.0,15.0,12.0,8.0,23.0,18.0,1.0,3.0
2018,20171110,"Elon",68.0,25.0,14.0,4.0,5.0,23.0,10.0,1.0,3.0
2018,20171220,"Evansville",40.0,15.0,5.0,5.0,2.0,15.0,11.0,2.0,1.0
2018,20171126,"Florida",84.0,30.0,8.0,16.0,9.0,22.0,11.0,2.0,7.0
2018,20171230,"Florida State",93.0,31.0,15.0,16.0,8.0,25.0,22.0,2.0,3.0
2018,20171120,"Furman",63.0,25.0,9.0,4.0,12.0,13.0,14.0,0.0,7.0
2018,20171129,"Indiana",81.0,30.0,5.0,16.0,11.0,17.0,12.0,4.0,4.0
2018,20180115,"Miami",75.0,29.0,9.0,8.0,11.0,25.0,10.0,2.0,13.0
2018,20171114,"Michigan State",81.0,31.0,9.0,10.0,8.0,22.0,25.0,12.0,1.0
2018,20180106,"N.C. State",96.0,34.0,5.0,23.0,11.0,19.0,17.0,3.0,7.0
2018,20180129,"Notre Dame",66.0,22.0,7.0,15.0,10.0,15.0,13.0,1.0,8.0
2018,20180120,"Pittsburgh",53.0,18.5,4.0,12.0,9.0,16.0,7.5,4.0,4.5
2018,20171123,"Portland State",81.0,30.0,12.0,9.0,12.0,19.0,21.0,1.0,6.0
2018,20171205,"Saint Francis (Pa.)",67.0,24.0,7.0,12.0,4.0,18.0,11.0,0.0,8.0
2018,20171202,"South Dakota",80.0,30.0,10.0,10.0,7.0,14.0,18.0,0.0,6.0
2018,20171117,"Southern",61.0,22.0,7.0,10.0,13.0,19.0,8.0,4.0,5.0
2018,20171124,"Texas",78.0,30.0,4.0,14.0,10.0,23.0,14.0,3.0,4.0
2018,20171111,"Utah Valley",69.0,25.0,6.0,13.0,12.0,21.0,13.0,0.0,5.0
2018,20180127,"Virginia",65.0,26.0,6.0,7.0,7.0,20.0,12.0,3.0,8.0
2018,20180123,"Wake Forest",70.5,27.0,7.5,9.0,13.0,22.0,13.0,2.5,3.0
